,color,codigo,RGB,R,G,B,visual
169,PMS 2715,#937acc,"(147, 122, 204)",147,122,204,
170,PMS 2725,#7251bc,"(114, 81, 188)",114,81,188,
171,PMS 2735,#4f0093,"(79, 0, 147)",79,0,147,
172,PMS 2745,#3f0077,"(63, 0, 119)",63,0,119,
173,PMS 2755,#35006d,"(53, 0, 109)",53,0,109,
174,PMS 2765,#2b0c56,"(43, 12, 86)",43,12,86,
175,PMS 2706,#d1cedd,"(209, 206, 221)",209,206,221,
176,PMS 2716,#a5a0d6,"(165, 160, 214)",165,160,214,
177,PMS 2726,#6656bc,"(102, 86, 188)",102,86,188,
178,PMS 2736,#4930ad,"(73, 48, 173)",73,48,173,
179,PMS 2746,#3f2893,"(63, 40, 147)",63,40,147,
180,PMS 2756,#332875,"(51, 40, 117)",51,40,117,
181,PMS 3945,#efea07,"(239, 234, 7)",239,234,7,
182,PMS 3955,#ede211,"(237, 226, 17)",237,226,17,
183,PMS 806,#f7027c,"(247, 2, 124)",247,2,124,
