,color,codigo,RGB,R,G,B
884,PMS 693,#dba8a5,"(219, 168, 165)",219,168,165
885,PMS 694,#c98c8c,"(201, 140, 140)",201,140,140
886,PMS 695,#b26b70,"(178, 107, 112)",178,107,112
887,PMS 696,#8e4749,"(142, 71, 73)",142,71,73
888,PMS 697,#7f383a,"(127, 56, 58)",127,56,58
889,PMS 698,#f7d1cc,"(247, 209, 204)",247,209,204
890,PMS 699,#f7bfbf,"(247, 191, 191)",247,191,191
891,PMS 700,#f2a5aa,"(242, 165, 170)",242,165,170
892,PMS 701,#e8878e,"(232, 135, 142)",232,135,142
893,PMS 702,#d6606d,"(214, 96, 109)",214,96,109
894,PMS 703,#b73844,"(183, 56, 68)",183,56,68
895,PMS 704,#9e2828,"(158, 40, 40)",158,40,40
896,PMS 705,#f9ddd6,"(249, 221, 214)",249,221,214
897,PMS 706,#fcc9c6,"(252, 201, 198)",252,201,198
898,PMS 707,#fcadaf,"(252, 173, 175)",252,173,175
899,PMS 708,#f98e99,"(249, 142, 153)",249,142,153
900,PMS 709,#f26877,"(242, 104, 119)",242,104,119
901,PMS 710,#e04251,"(224, 66, 81)",224,66,81
902,PMS 711,#d12d33,"(209, 45, 51)",209,45,51
903,PMS 712,#ffd3aa,"(255, 211, 170)",255,211,170
904,PMS 713,#f9c9a3,"(249, 201, 163)",249,201,163
905,PMS 714,#f9ba82,"(249, 186, 130)",249,186,130
906,PMS 715,#fc9e49,"(252, 158, 73)",252,158,73
907,PMS 716,#f28411,"(242, 132, 17)",242,132,17
908,PMS 717,#d36d00,"(211, 109, 0)",211,109,0
909,PMS 718,#bf5b00,"(191, 91, 0)",191,91,0
910,PMS 719,#f4d1af,"(244, 209, 175)",244,209,175
911,PMS 720,#efc49e,"(239, 196, 158)",239,196,158
912,PMS 721,#e8b282,"(232, 178, 130)",232,178,130
913,PMS 722,#d18e54,"(209, 142, 84)",209,142,84
914,PMS 723,#ba7530,"(186, 117, 48)",186,117,48
915,PMS 724,#8e4905,"(142, 73, 5)",142,73,5
916,PMS 725,#753802,"(117, 56, 2)",117,56,2
917,PMS 726,#edd3b5,"(237, 211, 181)",237,211,181
918,PMS 727,#e2bf9b,"(226, 191, 155)",226,191,155
919,PMS 728,#d3a87c,"(211, 168, 124)",211,168,124
920,PMS 729,#c18e60,"(193, 142, 96)",193,142,96
921,PMS 730,#aa753f,"(170, 117, 63)",170,117,63
922,PMS 731,#723f0a,"(114, 63, 10)",114,63,10
923,PMS 732,#60330a,"(96, 51, 10)",96,51,10
924,Yellow 2X,#fce216,"(252, 226, 22)",252,226,22
925,PMS 116,#f7b50c,"(247, 181, 12)",247,181,12
926,PMS 130,#e29100,"(226, 145, 0)",226,145,0
927,PMS 165,#ea4f00,"(234, 79, 0)",234,79,0
928,Warm Red,#e03a00,"(224, 58, 0)",224,58,0
929,PMS 1788,#d62100,"(214, 33, 0)",214,33,0
930,PMS 1852,#d11600,"(209, 22, 0)",209,22,0
931,PMS 485,#cc0c00,"(204, 12, 0)",204,12,0
932,Rubine Red,#c6003d,"(198, 0, 61)",198,0,61
933,Rhodamin Red,#d10572,"(209, 5, 114)",209,5,114
934,PMS 239,#c4057c,"(196, 5, 124)",196,5,124
935,Purple 2X,#aa0096,"(170, 0, 150)",170,0,150
936,PMS 2592,#720082,"(114, 0, 130)",114,0,130
937,Violet 2X,#59008e,"(89, 0, 142)",89,0,142
938,Reflex Blue,#1c007a,"(28, 0, 122)",28,0,122
939,Process Blue,#0077bf,"(0, 119, 191)",0,119,191
940,PMS 299,#007fcc,"(0, 127, 204)",0,127,204
941,PMS 306,#00a3d1,"(0, 163, 209)",0,163,209
942,PMS 320,#007f82,"(0, 127, 130)",0,127,130
943,PMS 327,#008977,"(0, 137, 119)",0,137,119
944,Green 2X,#009677,"(0, 150, 119)",0,150,119
945,PMS 354,#009944,"(0, 153, 68)",0,153,68
946,PMS 368,#009e0f,"(0, 158, 15)",0,158,15
947,PMS 375,#54bc00,"(84, 188, 0)",84,188,0
948,PMS 382,#9ec400,"(158, 196, 0)",158,196,0
949,PMS 471,#a34402,"(163, 68, 2)",163,68,2
950,PMS 464,#704214,"(112, 66, 20)",112,66,20
951,PMS 433,#0a0c11,"(10, 12, 17)",10,12,17
952,Black 2,#3a3321,"(58, 51, 33)",58,51,33
953,Black 3,#282d26,"(40, 45, 38)",40,45,38
954,Black 4,#3d3023,"(61, 48, 35)",61,48,35
955,Black 5,#422d2d,"(66, 45, 45)",66,45,45
956,Black 6,#1c2630,"(28, 38, 48)",28,38,48
957,Black 7,#443d38,"(68, 61, 56)",68,61,56
958,Black 2,#111111,"(17, 17, 17)",17,17,17
959,Black 3,#111114,"(17, 17, 20)",17,17,20
960,Black 4,#0f0f0f,"(15, 15, 15)",15,15,15
961,Black 5,#110c0f,"(17, 12, 15)",17,12,15
962,Black 6,#070c0f,"(7, 12, 15)",7,12,15
963,Black 7,#33302b,"(51, 48, 43)",51,48,43
964,PMS 801,#00aacc,"(0, 170, 204)",0,170,204
965,PMS 802,#60dd49,"(96, 221, 73)",96,221,73
966,PMS 803,#ffed38,"(255, 237, 56)",255,237,56
967,PMS 804,#ff9338,"(255, 147, 56)",255,147,56
968,PMS 805,#f95951,"(249, 89, 81)",249,89,81
969,PMS 806,#ff0093,"(255, 0, 147)",255,0,147
970,PMS 807,#d6009e,"(214, 0, 158)",214,0,158
971,PMS 801,#0089af,"(0, 137, 175)",0,137,175
972,PMS 802,#1cce28,"(28, 206, 40)",28,206,40
973,PMS 803,#ffd816,"(255, 216, 22)",255,216,22
974,PMS 804,#ff7f1e,"(255, 127, 30)",255,127,30
975,PMS 805,#f93a2b,"(249, 58, 43)",249,58,43
976,PMS 806,#f7027c,"(247, 2, 124)",247,2,124
977,PMS 807,#bf008c,"(191, 0, 140)",191,0,140
978,PMS 808,#00b59b,"(0, 181, 155)",0,181,155
979,PMS 809,#dde00f,"(221, 224, 15)",221,224,15
980,PMS 810,#ffcc1e,"(255, 204, 30)",255,204,30
981,PMS 811,#ff7247,"(255, 114, 71)",255,114,71
982,PMS 812,#fc2366,"(252, 35, 102)",252,35,102
983,PMS 813,#e50099,"(229, 0, 153)",229,0,153
984,PMS 814,#8c60c1,"(140, 96, 193)",140,96,193
985,PMS 808,#00a087,"(0, 160, 135)",0,160,135
986,PMS 809,#d6d60c,"(214, 214, 12)",214,214,12
987,PMS 810,#ffbc21,"(255, 188, 33)",255,188,33
988,PMS 811,#ff5416,"(255, 84, 22)",255,84,22
989,PMS 812,#fc074f,"(252, 7, 79)",252,7,79
990,PMS 813,#d10084,"(209, 0, 132)",209,0,132
991,PMS 814,#703faf,"(112, 63, 175)",112,63,175
