,color,codigo,RGB,R,G,B
199,PMS 239,#e0219e,"(224, 33, 158)",224,33,158
200,PMS 240,#c40f89,"(196, 15, 137)",196,15,137
201,PMS 241,#ad0075,"(173, 0, 117)",173,0,117
202,PMS 242,#7c1c51,"(124, 28, 81)",124,28,81
203,PMS 2365,#f7c4d8,"(247, 196, 216)",247,196,216
204,PMS 2375,#ea6bbf,"(234, 107, 191)",234,107,191
205,PMS 2385,#db28a5,"(219, 40, 165)",219,40,165
206,PMS 2395,#c4008c,"(196, 0, 140)",196,0,140
207,PMS 2405,#a8007a,"(168, 0, 122)",168,0,122
208,PMS 2415,#9b0070,"(155, 0, 112)",155,0,112
209,PMS 2425,#87005b,"(135, 0, 91)",135,0,91
210,PMS 243,#f2bad8,"(242, 186, 216)",242,186,216
211,PMS 244,#eda0d3,"(237, 160, 211)",237,160,211
212,PMS 245,#e87fc9,"(232, 127, 201)",232,127,201
213,PMS 246,#cc00a0,"(204, 0, 160)",204,0,160
214,PMS 247,#b7008e,"(183, 0, 142)",183,0,142
215,PMS 248,#a3057f,"(163, 5, 127)",163,5,127
216,PMS 249,#7f2860,"(127, 40, 96)",127,40,96
217,PMS 250,#edc4dd,"(237, 196, 221)",237,196,221
218,PMS 251,#e29ed6,"(226, 158, 214)",226,158,214
219,PMS 252,#d36bc6,"(211, 107, 198)",211,107,198
220,Purple,#bf30b5,"(191, 48, 181)",191,48,181
221,PMS 253,#af23a5,"(175, 35, 165)",175,35,165
222,PMS 254,#a02d96,"(160, 45, 150)",160,45,150
223,PMS 255,#772d6b,"(119, 45, 107)",119,45,107
224,PMS 256,#e5c4d6,"(229, 196, 214)",229,196,214
225,PMS 257,#d3a5c9,"(211, 165, 201)",211,165,201
226,PMS 258,#9b4f96,"(155, 79, 150)",155,79,150
227,PMS 259,#72166b,"(114, 22, 107)",114,22,107
228,PMS 260,#681e5b,"(104, 30, 91)",104,30,91
229,PMS 261,#5e2154,"(94, 33, 84)",94,33,84
230,PMS 262,#542344,"(84, 35, 68)",84,35,68
